,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name,Game,Player Position
45,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1.0,0.0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124.0,PP,7.0,2.0,Sunderland,19633,7.1,90.0,2.0,1.0,,0.0,0.0,0.0,53.0,4.0,75.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,Connor McLaughlin,Southend United 02/11/2019,DF
46,Matchweek 19,Sat,23/11/2019,15:00 (02:00),Home,D,1.0,1.0,Coventry City,"29,809",Grant Leadbitter,4_3_3,Scott Oldham,168148.0,PP,12.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Coventry City 23/11/2019,DF
47,Matchweek 7,Tue,26/11/2019,19:45 (06:45),Home,L,1.0,2.0,Burton Albion,"26,538",Grant Leadbitter,4_2_3_1,Rob Lewis,168003.0,PP,10.0,2.0,Sunderland,19633,6.7,71.0,1.0,0.0,,0.0,0.0,0.0,25.0,1.0,67.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Connor McLaughlin,Burton Albion 26/11/2019,DF
48,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0.0,1.0,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157.0,PP,12.0,2.0,Sunderland,19633,7,89.0,0.0,0.0,,0.0,0.0,0.0,21.0,1.0,63.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Connor McLaughlin,Gillingham 07/12/2019,DF
49,Matchweek 21,Sat,14/12/2019,15:00 (02:00),Home,D,1.0,1.0,Blackpool,"30,595",Max Power,3_4_3,Oliver Yates,168172.0,PP,12.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Blackpool 14/12/2019,DF
50,Matchweek 23,Thu,26/12/2019,15:00 (02:00),Home,D,0.0,0.0,Bolton,"33,821",Grant Leadbitter,3_4_3,Ross Joyce,168197.0,PP,15.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Bolton 26/12/2019,DF
51,Matchweek 24,Sun,29/12/2019,15:00 (02:00),Away,W,2.0,1.0,Doncaster,"12,432",Max Power,3_4_3,Carl Boyeson,168202.0,PP,13.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Doncaster 29/12/2019,DF
52,Matchweek 25,Wed,01/01/2020,15:00 (02:00),Away,D,1.0,1.0,Fleetwood Town,"4,011",Max Power,3_4_3,Anthony Backhouse,168215.0,PP,15.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Fleetwood Town 01/01/2020,DF
53,Matchweek 26,Sat,04/01/2020,15:00 (02:00),Home,W,3.0,1.0,Lincoln City,"31,748",Max Power,3_4_3,Leigh Doughty,168233.0,PP,13.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Lincoln City 04/01/2020,DF
54,Matchweek 27,Sat,11/01/2020,15:00 (02:00),Home,W,4.0,0.0,Wycombe,"29,331",Max Power,3_4_3,Andrew Davies,168245.0,PP,10.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Wycombe 11/01/2020,DF
55,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1.0,0.0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254.0,PP,6.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,MK Dons 18/01/2020,DF
56,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0.0,0.0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269.0,PP,8.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Doncaster 24/01/2020,DF
57,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1.0,0.0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279.0,PP,7.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Tranmere Rovers 29/01/2020,DF
58,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0.0,2.0,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290.0,PP,9.0,,Sunderland,19633,,,,,,,,,,,,,,,,,,,,,,,,,Connor McLaughlin,Portsmouth 01/02/2020,DF
59,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1.0,0.0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303.0,PP,8.0,2.0,Sunderland,19633,–,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connor McLaughlin,Ipswich Town 08/02/2020,DF
