,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
91,168026,11,Sunderland,Lynden Gooch,19901,6.4,85,0,0,,0,0,0,18,0,72,0,0,0,0,0,0,0,0,2,4,0,0,0,Lynden Gooch,Rotherham Utd
92,168026,13,Sunderland,Luke O'Nien,19911,6.6,60,1,0,,0,0,0,19,1,54,1,0,3,0,0,0,0,0,2,8,0,0,0,Luke O'Nien,Rotherham Utd
93,168026,19,Sunderland,Aiden McGeady,19907,6.6,90,4,2,,0,0,0,20,1,76,1,0,0,0,0,2,2,0,0,0,0,1,0,Aiden McGeady,Rotherham Utd
94,168026,10,Sunderland,Marc McNulty,44853,7.4,60,1,1,,0,0,1,11,2,73,0,0,0,0,0,1,1,0,0,2,0,0,0,Marc McNulty,Rotherham Utd
95,168026,7,Sunderland,Chris Maguire,19916,6.4,20,0,0,,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Maguire,Rotherham Utd
96,168026,22,Sunderland,Will Grigg,19915,6.5,13,0,0,,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Grigg,Rotherham Utd
97,168026,9,Sunderland,Charlie Wyke,19918,6.7,30,1,1,,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,Charlie Wyke,Rotherham Utd
98,168032,1,Sunderland,Jon McLaughlin,19880,6.4,90,0,0,,1,0,0,20,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,Jon McLaughlin,Bolton
99,168032,13,Sunderland,Luke O'Nien,19911,6.7,45,1,0,,0,0,0,36,0,69,0,0,0,0,0,0,0,1,0,2,0,0,0,Luke O'Nien,Bolton
100,168032,12,Sunderland,Tom Flanagan,19887,7,90,3,0,,0,0,0,49,0,77,0,0,1,0,0,0,0,0,0,2,0,1,0,Tom Flanagan,Bolton
101,168032,4,Sunderland,Jordan Willis,19992,7.1,90,1,0,,0,0,0,48,1,81,0,0,0,0,0,1,1,0,0,1,0,0,0,Jordan Willis,Bolton
102,168032,33,Sunderland,Denver Hume,19888,6.3,45,0,0,,0,0,0,9,1,45,0,0,1,0,0,2,1,2,0,1,0,1,0,Denver Hume,Bolton
103,168032,18,Sunderland,George Dobson,20436,6.3,90,0,0,,0,0,0,38,1,86,0,0,0,0,0,1,0,2,1,1,0,0,0,George Dobson,Bolton
